id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31465474,The Getaway Van - DEEP SEA,22091788,Getaway,MATOSINHOS,"Custóias, Leça do Balio e Guifões",41.19974,-8.62911,Entire home/apt,45,3,0,,,6,364
31470315,Amazing Industrial Architecture House  City Center,3812078,Mara Lia,PORTO,Bonfim,41.1482,-8.6016,Entire home/apt,180,2,0,,,1,178
31479017,Mayor's - 1º Frente,26415384,Arnaldo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14413,-8.61814,Entire home/apt,68,2,47,04/09/2020,2.1,7,0
31479066,Bonjardim City Flats - Studio Charm,164595585,Nomad City Flats,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15756,-8.60672,Entire home/apt,73,2,0,,,32,365
31479256,Cozy Artsy Bedroom Close to Casa da Música,29821567,Bruno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15875,-8.62535,Private room,25,1,0,,,1,0
31479705,Mayor's - 1º Traseiras,26415384,Arnaldo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14543,-8.61873,Entire home/apt,68,2,0,,,7,343
31479974,Mayor's - 2º Frente,26415384,Arnaldo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14499,-8.61864,Entire home/apt,68,2,5,01/09/2020,0.27,7,1
31480156,Mayor's - 2º Traseiras,26415384,Arnaldo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14333,-8.61733,Entire home/apt,68,2,1,22/07/2019,0.05,7,356
31481044,Mayor's - 3º Frente,26415384,Arnaldo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14335,-8.61729,Entire home/apt,102,2,7,12/10/2020,0.32,7,359
31481157,Mayor's - 3º Traseiras,26415384,Arnaldo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14399,-8.61655,Entire home/apt,102,2,1,13/10/2019,0.06,7,357
31481216,AMAZING APARTMENT@CENTER- ELEVATOR & FREE PARKING,235854722,Santos,PORTO,Bonfim,41.15294,-8.5987,Entire home/apt,65,2,11,31/08/2020,0.57,1,365
31495453,The Porto Concierge - Foz View,235972691,Joao,PORTO,Lordelo do Ouro e Massarelos,41.14754,-8.65796,Entire home/apt,25,2,21,05/03/2020,0.92,1,0
31511620,Central Loft - Boavista - Porto,107485650,Orlando,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15621,-8.61782,Entire home/apt,40,2,5,31/03/2020,0.22,1,229
31532485,✈24h Self Check-In*5Min Lello Bookshop! Historical,151352873,Liu-Qi,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14385,-8.61725,Entire home/apt,32,2,14,12/01/2021,0.63,7,9
